Analysis,Phased,chrom,Memory (Kb),Runtime (sec.),XPCLR runtime,XPCLR memory,Fold improvement (runtime),Fold improvement (memory)
xpclrs (1 thread),yes,3,"1,932,860.000","2,416","46,222","19,059,380.000",19.132,9.861
xpclrs (1 thread),no,13,"716,080.000","1,125","23,237","9,419,052.000",20.655,13.154
"xpclrs (8 threads, --fast)",no,12,"939,600.000",534,"30,950","12,676,484.000",57.959,13.491
"xpclrs (8 threads, --fast)",no,10,"998,168.000",557,"31,053","13,071,768.000",55.750,13.096
xpclrs (1 thread),no,11,"963,876.000","1,550","32,447","13,260,836.000",20.934,13.758
xpclrs (8 threads),no,21,"284,056.000",184,"8,786","3,694,968.000",47.750,13.008
xpclrs (1 thread),yes,1,"2,150,476.000","2,609","52,992","21,152,664.000",20.311,9.836
xpclr,no,15,"7,983,924.000","18,703","18,703","7,983,924.000",1.000,1.000
xpclr,no,14,"8,764,848.000","22,440","22,440","8,764,848.000",1.000,1.000
xpclrs (8 threads),no,20,"433,860.000",300,"14,236","6,013,652.000",47.453,13.861
xpclrs (1 thread),no,10,"992,540.000","1,571","31,053","13,071,768.000",19.766,13.170
"xpclrs (8 threads, --fast)",no,11,"969,824.000",561,"32,447","13,260,836.000",57.838,13.673
xpclrs (8 threads),yes,13,"998,220.000",499,"22,727","9,418,624.000",45.545,9.435
xpclr,yes,11,"13,259,116.000","30,982","30,982","13,259,116.000",1.000,1.000
"xpclrs (8 threads, --plink, --fast)",no,10,"5,672,820.000",47,"31,053","13,071,768.000",660.702,2.304
"xpclrs (8 threads, --fast)",no,5,"1,236,168.000",732,"40,729","17,199,296.000",55.641,13.913
xpclr,yes,8,"15,025,372.000","35,557","35,557","15,025,372.000",1.000,1.000
"xpclrs (1 thread, --plink)",no,1,"9,134,424.000","1,688","52,485","21,162,396.000",31.093,2.317
"xpclrs (1 thread, --plink)",no,10,"5,672,652.000","1,051","31,053","13,071,768.000",29.546,2.304
"xpclrs (8 threads, --plink)",no,20,"2,566,984.000",72,"14,236","6,013,652.000",197.722,2.343
"xpclrs (8 threads, --fast)",yes,20,"606,280.000",254,"15,285","6,013,692.000",60.177,9.919
"xpclrs (8 threads, --fast)",yes,21,"394,540.000",155,"9,266","3,694,956.000",59.781,9.365
"xpclrs (8 threads, --plink)",no,21,"1,579,316.000",45,"8,786","3,694,968.000",195.244,2.340
"xpclrs (1 thread, --plink)",no,11,"5,707,608.000","1,021","32,447","13,260,836.000",31.780,2.323
xpclrs (1 thread),no,1,"1,541,108.000","2,498","52,485","21,162,396.000",21.011,13.732
xpclr,yes,9,"11,704,808.000","26,933","26,933","11,704,808.000",1.000,1.000
"xpclrs (8 threads, --fast)",no,4,"1,411,836.000",813,"45,128","18,775,756.000",55.508,13.299
"xpclrs (8 threads, --plink, --fast)",no,11,"5,710,236.000",47,"32,447","13,260,836.000",690.362,2.322
xpclr,yes,10,"13,073,232.000","31,130","31,130","13,073,232.000",1.000,1.000
xpclrs (1 thread),yes,22,"392,460.000",452,"9,642","3,690,500.000",21.332,9.404
xpclrs (8 threads),yes,12,"1,310,116.000",664,"30,779","12,681,500.000",46.354,9.680
xpclrs (1 thread),yes,20,"602,800.000",727,"15,285","6,013,692.000",21.025,9.976
xpclrs (8 threads),yes,10,"1,395,548.000",719,"31,130","13,073,232.000",43.296,9.368
xpclr,yes,12,"12,681,500.000","30,779","30,779","12,681,500.000",1.000,1.000
"xpclrs (8 threads, --plink, --fast)",no,13,"4,058,140.000",34,"23,237","9,419,052.000",683.441,2.321
"xpclrs (8 threads, --fast)",no,6,"1,335,244.000",705,"40,243","16,446,480.000",57.082,12.317
"xpclrs (1 thread, --plink)",no,2,"9,956,464.000","1,792","55,656","23,126,816.000",31.058,2.323
xpclrs (1 thread),no,3,"1,381,280.000","2,314","44,647","19,069,468.000",19.294,13.806
"xpclrs (8 threads, --fast)",yes,8,"1,505,704.000",667,"35,557","15,025,372.000",53.309,9.979
"xpclrs (1 thread, --plink)",no,13,"4,059,488.000",756,"23,237","9,419,052.000",30.737,2.320
"xpclrs (8 threads, --fast)",yes,22,"398,608.000",154,"9,642","3,690,500.000",62.610,9.258
"xpclrs (1 thread, --plink)",no,12,"5,471,500.000","1,005","30,950","12,676,484.000",30.796,2.317
"xpclrs (8 threads, --plink)",no,22,"1,572,612.000",45,"8,782","3,690,484.000",195.156,2.347
xpclrs (1 thread),no,2,"1,640,788.000","2,794","55,656","23,126,816.000",19.920,14.095
"xpclrs (8 threads, --fast)",yes,9,"1,208,144.000",510,"26,933","11,704,808.000",52.810,9.688
"xpclrs (1 thread, --plink)",no,3,"8,223,340.000","1,481","44,647","19,069,468.000",30.147,2.319
"xpclrs (8 threads, --fast)",no,7,"1,157,088.000",654,"36,948","15,427,828.000",56.495,13.333
"xpclrs (8 threads, --plink, --fast)",no,12,"5,474,412.000",44,"30,950","12,676,484.000",703.409,2.316
xpclr,yes,13,"9,418,624.000","22,727","22,727","9,418,624.000",1.000,1.000
xpclrs (8 threads),yes,11,"1,352,800.000",692,"30,982","13,259,116.000",44.772,9.801
xpclrs (1 thread),yes,21,"392,044.000",450,"9,266","3,694,956.000",20.591,9.425
xpclrs (1 thread),yes,19,"643,272.000",747,"15,417","6,055,516.000",20.639,9.414
xpclr,yes,17,"7,702,384.000","19,323","19,323","7,702,384.000",1.000,1.000
xpclrs (8 threads),yes,15,"810,436.000",412,"18,623","7,982,736.000",45.201,9.850
"xpclrs (8 threads, --plink, --fast)",no,16,"3,793,692.000",32,"19,882","8,858,816.000",621.313,2.335
xpclrs (8 threads),yes,8,"1,507,944.000",784,"35,557","15,025,372.000",45.353,9.964
"xpclrs (8 threads, --fast)",no,3,"1,382,852.000",816,"44,647","19,069,468.000",54.714,13.790
"xpclrs (1 thread, --plink)",no,7,"6,685,572.000","1,219","36,948","15,427,828.000",30.310,2.308
xpclr,no,9,"11,703,072.000","26,767","26,767","11,703,072.000",1.000,1.000
xpclrs (1 thread),no,6,"1,289,100.000","2,057","40,243","16,446,480.000",19.564,12.758
"xpclrs (1 thread, --plink)",no,16,"3,794,844.000",666,"19,882","8,858,816.000",29.853,2.334
"xpclrs (1 thread, --plink)",no,17,"3,286,448.000",587,"18,166","7,702,276.000",30.947,2.344
xpclr,no,8,"15,023,728.000","35,066","35,066","15,023,728.000",1.000,1.000
xpclrs (1 thread),no,7,"1,149,448.000","1,857","36,948","15,427,828.000",19.897,13.422
"xpclrs (1 thread, --plink)",no,6,"7,175,864.000","1,375","40,243","16,446,480.000",29.268,2.292
"xpclrs (8 threads, --fast)",no,2,"1,642,088.000",982,"55,656","23,126,816.000",56.676,14.084
